source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,language_code,country_code
Google Play,2af09adb-2cdb-4189-a884-024664b1f900,John Y,,"First downloaded in 2021 and they haven't really improved (now 2023). Very basic UI functions that are missing. e.g 1) You cannot search through your transactions by specifying a date or $ range (need to manually scroll thru months of rows). 2) On the insights pie chart you cannot tap on a category for that month and look at which transactions comprise that category, and the chart only shows the top categories - you cannot tap to zoom in and look at the ""10 other categories"" slice of the pie.",2,0,2023-08-03 01:32:00,"Hi John! We are always looking to improve the experience for our users, and really appreciate your review. The development team has received your feedback and will be discussing it internally. Have a great day!",2023-08-01 16:32:37,5.0,en,us
Google Play,2c5133fb-9e09-4f1b-abe0-f457eac080fc,Robert Bowen,,One of the best I have used,5,0,2023-07-21 20:30:02,Hi Robert! Thank you very much for your review. Feel free to contact us at support@pocketguard.com if you have any questions/suggestions. Have a good day!,2023-08-01 16:21:31,4.39.1,en,us
Google Play,7428b450-eaf7-47e8-9f95-edba866a714a,Jimmy Li,,"Note that this does cost money. However, one of fhe few budget apps that has manual import of csv transactions you can request. has net monthly income, has budgeting, can tag transactions. Also has two account sync providers (Plaid and Finicity) which is nice, all of my banks are supportrd. Some UI issues (can't access goals or debt payoff because the nav bar hides the button)",5,0,2023-07-17 18:26:07,"Hi Jimmy! Thanks for the review. We are glad that you found our budgeting features useful. As for the UI issues, please contact us at support@pocketguard.com so we can get some additional details about the problem. Have a nice day!",2023-08-01 16:20:30,4.39,en,us
Google Play,5e2fd6b0-50b7-4e54-9099-07839e39763e,Kristin Ringgenberg,,App keeps crashing every time I try to set a date for a goal.,3,0,2023-07-11 01:50:14,"Hi Kristin! Sorry for the inconvenience. Please contact our support team at support@pocketguard.com, so they can get more details and fix the problem. Hope for your understanding.",2023-08-01 16:16:20,4.38,en,us
Google Play,0b93b84b-bd0d-4a55-a9fe-25e03a522c62,Barbara Brinson,,This is not a free service and never advertised as a charge. Never offers any free version just asks for you to pay and you have to uninstall if you don't want to pay for a service that you never used before.,1,0,2023-07-02 16:15:50,"Hi Barbara! Thanks for your feedback. Our free version includes a list of basic budgeting features to help to stay on track. In case you would like more advanced budgeting features such as a debt payoff plan or unlimited budgets, you should upgrade your profile to the ""Plus"" version. Hope for your understanding.",2023-06-21 11:09:35,4.37,en,us
Google Play,7ac8d704-2a38-4579-abf3-b60dea4fd7d9,Tarence J,,would not allow me to create an account kept prompting me to email customer support,1,0,2023-06-22 21:33:46,Hi Tarence! Sorry for the inconvenience. Please contact us at support@pocketguard.com so we can get more information and fix the problem. Hope for your understanding.,2023-06-27 11:14:05,4.37.1,en,us
Google Play,8369b410-491e-4451-a111-c7fe251fea0f,Shayla Simpson,,There's a few subscriptions that can't be found but overall I'm enjoying this app and having all my accounts from every institution on one screen! Its budget features really are good too!,5,0,2023-06-21 11:14:00,"Hi Shayla! Thanks for the wonderful review! If you have any questions, please contact us at support@pocketguard.com. Have a good day!",2023-06-27 11:28:29,4.37,en,us
Google Play,e2766016-7237-438c-b608-b40696bff9f9,Matthew Stafford,,"Wonderful way to track you finances, set up many budgets and goals to really dial in your budget. The premium version is the way to go.",5,0,2023-06-18 19:22:12,Hi Matthew! Thank you so much for your review! It's great to hear that our budgeting features meet your needs. Feel free to contact us at support@pocketguard.com if you have any questions. Have a great day!,2023-06-21 11:18:55,4.37,en,us
Google Play,ac209022-a516-4839-87e2-944d348f8c1d,Jo Ruiz (Jojo),,Used many budgeting apps and this one is one of the best. It's so good that I bought the lifetime license.,5,0,2023-06-17 15:25:20,Hi Jo! Thanks for the amazing review! Our team is pleased to know that you found the app so helpful. Have a nice day!,2023-06-21 11:15:02,4.37,en,us
Google Play,ce1d633f-bb47-45d2-800e-5994b1c868b2,Ashkan Keramati,,"I recently downloaded this app again, and I'm totally happy. Everything I need and want in one place. Strongly advise it over other similar apps",5,0,2023-06-09 19:24:08,"Hi Ashkan! We are glad that you enjoyed the app. If you have any questions/suggestions, please let us know at support@pocketguard.com. Have a wonderful day!",2023-06-21 11:12:48,4.36,en,us
